Input_Size,Algorithm,Median_Swaps
1000,BubbleSort,250013
1000,InsertionSort,250013
1000,SelectionSort,999
1000,MergeSort,9976
1000,QuickSort,2388
1000,HeapSort,9083
2000,BubbleSort,999806
2000,InsertionSort,999806
2000,SelectionSort,1999
2000,MergeSort,21952
2000,QuickSort,5236
2000,HeapSort,20162
3000,BubbleSort,2.24685e+06
3000,InsertionSort,2.24685e+06
3000,SelectionSort,2999
3000,MergeSort,34904
3000,QuickSort,8267
3000,HeapSort,32083
4000,BubbleSort,4.00066e+06
4000,InsertionSort,4.00066e+06
4000,SelectionSort,3999
4000,MergeSort,47904
4000,QuickSort,11398
4000,HeapSort,44316
5000,BubbleSort,6.24801e+06
5000,InsertionSort,6.24801e+06
5000,SelectionSort,4999
5000,MergeSort,61808
5000,QuickSort,14629
5000,HeapSort,57105
6000,BubbleSort,8.99673e+06
6000,InsertionSort,8.99673e+06
6000,SelectionSort,5999
6000,MergeSort,75808
6000,QuickSort,17909
6000,HeapSort,70155
7000,BubbleSort,1.22467e+07
7000,InsertionSort,1.22467e+07
7000,SelectionSort,6999
7000,MergeSort,89808
7000,QuickSort,21251
7000,HeapSort,83340
8000,BubbleSort,1.60031e+07
8000,InsertionSort,1.60031e+07
8000,SelectionSort,7999
8000,MergeSort,103808
8000,QuickSort,24662
8000,HeapSort,96628
9000,BubbleSort,2.02527e+07
9000,InsertionSort,2.02527e+07
9000,SelectionSort,8999
9000,MergeSort,118616
9000,QuickSort,28098
9000,HeapSort,110313
10000,BubbleSort,2.49817e+07
10000,InsertionSort,2.49817e+07
10000,SelectionSort,9999
10000,MergeSort,133616
10000,QuickSort,31577
10000,HeapSort,124204
